id,graduation_year,major,skills,is_mentor,bio,interests,degree,is_alumni
1,2015,Nursing,"counseling, data visualization, empathy training, qualitative research, SPSS",False,"A Nursing alumna with a Ph.D. degree, graduated in 2015. Passionate about patient care, behavioral economics, neuropsychology, mental health. Skilled in counseling, data visualization, empathy training, qualitative research, SPSS. Eager to engage in innovative projects in behavioral.","patient care, behavioral economics, neuropsychology, mental health",Ph.D.,True
2,2023,Data Science,"TensorFlow, Node.js, C++, Python",False,"A Data Science student pursuing a B.A. degree, expected graduation in 2023. Passionate about big data, software development, DevOps, blockchain, AI. Skilled in TensorFlow, Node.js, C++, Python. Eager to engage in innovative projects in software.","big data, software development, DevOps, blockchain, AI",B.A.,False
3,2017,Aerospace Engineering,"CAD, mechanical design, finite element analysis, project management, CNC machining",False,"A Aerospace Engineering alumna with a B.Sc. degree, graduated in 2017. Passionate about renewable energy, aerospace propulsion, thermodynamics, 3D printing. Skilled in CAD, mechanical design, finite element analysis, project management, CNC machining. Eager to engage in innovative projects in mechanical.","renewable energy, aerospace propulsion, thermodynamics, 3D printing",B.Sc.,True
4,2025,Data Science,"data structures, JavaScript, React, Node.js, AWS, Java",False,"A Data Science student pursuing a B.Tech. degree, expected graduation in 2025. Passionate about DevOps, cybersecurity, big data, software development. Skilled in data structures, JavaScript, React, Node.js, AWS, Java. Eager to engage in innovative projects in software.","DevOps, cybersecurity, big data, software development",B.Tech.,False
5,1973,Environmental Science,"environmental modeling, data analysis, field research, remote sensing",True,"A Environmental Science alumna with a B.A. degree, graduated in 1973. Passionate about climate change, ecology, renewable energy, conservation, sustainability. Skilled in environmental modeling, data analysis, field research, remote sensing. Offers mentorship and engage in innovative projects in environmental.","climate change, ecology, renewable energy, conservation, sustainability",B.A.,True
6,1975,Physics,"lab techniques, computational modeling, physics simulations, chemical analysis",False,"A Physics alumna with a MBA degree, graduated in 1975. Passionate about astrophysics, materials science, organic synthesis, thermodynamics. Skilled in lab techniques, computational modeling, physics simulations, chemical analysis. Eager to engage in innovative projects in physical.","astrophysics, materials science, organic synthesis, thermodynamics",MBA,True
7,2017,Biology,"PCR, lab techniques, experimental design, bioinformatics",False,"A Biology alumna with a BBA degree, graduated in 2017. Passionate about biotechnology, bioinformatics, genetics, molecular biology, conservation. Skilled in PCR, lab techniques, experimental design, bioinformatics. Eager to engage in innovative projects in biological.","biotechnology, bioinformatics, genetics, molecular biology, conservation",BBA,True
8,2024,Electrical Engineering,"PLC programming, circuit simulation, MATLAB, VHDL",False,"A Electrical Engineering student pursuing a B.A. degree, expected graduation in 2024. Passionate about control systems, microelectronics, signal processing, embedded systems, renewable energy. Skilled in PLC programming, circuit simulation, MATLAB, VHDL. Eager to engage in innovative projects in electrical.","control systems, microelectronics, signal processing, embedded systems, renewable energy",B.A.,False
9,1994,History,"policy analysis, historical documentation, qualitative research, survey design, archival research",False,"A History alumna with a M.A. degree, graduated in 1994. Passionate about public policy, archaeology, historical research. Skilled in policy analysis, historical documentation, qualitative research, survey design, archival research. Eager to engage in innovative projects in historical.","public policy, archaeology, historical research",M.A.,True
10,2024,History,"survey design, historical documentation, policy analysis, archival research, qualitative research",False,"A History student pursuing a M.Eng. degree, expected graduation in 2024. Passionate about public policy, historical research, international relations, archaeology. Skilled in survey design, historical documentation, policy analysis, archival research, qualitative research. Eager to engage in innovative projects in historical.","public policy, historical research, international relations, archaeology",M.Eng.,False
